Bandit,Reward,Algorithm
Bandit_3,2.7710130089185343,EpsilonGreedy
Bandit_4,4.093218083980714,EpsilonGreedy
Bandit_3,3.910069063024866,EpsilonGreedy
Bandit_4,4.383928042135866,EpsilonGreedy
Bandit_4,3.5542827257528744,EpsilonGreedy
Bandit_4,5.655218645553187,EpsilonGreedy
Bandit_4,4.40821238173212,EpsilonGreedy
Bandit_4,6.9806005006586975,EpsilonGreedy
Bandit_4,4.217458530819022,EpsilonGreedy
Bandit_4,4.943473624288938,EpsilonGreedy
Bandit_1,0.223809604175448,EpsilonGreedy
Bandit_4,5.605151768935448,EpsilonGreedy
Bandit_4,5.9493452838769985,EpsilonGreedy
Bandit_4,4.7979640695764445,EpsilonGreedy
Bandit_4,3.6757355447526527,EpsilonGreedy
Bandit_4,3.3004828657435485,EpsilonGreedy
Bandit_4,1.344974113620319,EpsilonGreedy
Bandit_4,4.350595623639623,EpsilonGreedy
Bandit_4,4.173317014484946,EpsilonGreedy
Bandit_4,3.632972950182896,EpsilonGreedy
Bandit_4,2.4114530921813886,EpsilonGreedy
Bandit_4,3.990570783672608,EpsilonGreedy
Bandit_4,3.4672405078614967,EpsilonGreedy
Bandit_4,3.731744134709595,EpsilonGreedy
Bandit_4,3.1967406684951865,EpsilonGreedy
Bandit_4,3.275824520894822,EpsilonGreedy
Bandit_4,5.10069354658911,EpsilonGreedy
Bandit_4,5.833893507587527,EpsilonGreedy
Bandit_4,4.219314354025196,EpsilonGreedy
Bandit_4,3.605514119743766,EpsilonGreedy
Bandit_4,6.320835798119393,EpsilonGreedy
Bandit_4,3.538363765188252,EpsilonGreedy
Bandit_4,1.964757230329228,EpsilonGreedy
Bandit_4,2.982565243115014,EpsilonGreedy
Bandit_4,3.921950738665723,EpsilonGreedy
Bandit_4,5.509678533486491,EpsilonGreedy
Bandit_4,2.9098424744837197,EpsilonGreedy
Bandit_4,4.521581374906412,EpsilonGreedy
Bandit_4,2.0255515531936537,EpsilonGreedy
Bandit_4,4.550962550065419,EpsilonGreedy
Bandit_4,3.1938795541253553,EpsilonGreedy
Bandit_4,3.3066064536225133,EpsilonGreedy
Bandit_4,5.85157926696707,EpsilonGreedy
Bandit_4,5.86239134333383,EpsilonGreedy
Bandit_4,1.6635021695879506,EpsilonGreedy
Bandit_4,1.81851919486949,EpsilonGreedy
Bandit_4,4.970620903881867,EpsilonGreedy
Bandit_4,4.5153008383135305,EpsilonGreedy
Bandit_4,3.752009425585271,EpsilonGreedy
Bandit_4,4.824854256357708,EpsilonGreedy
Bandit_4,5.142047034959053,EpsilonGreedy
Bandit_4,4.040108676867977,EpsilonGreedy
Bandit_4,4.994469535842398,EpsilonGreedy
Bandit_4,3.385261759653402,EpsilonGreedy
Bandit_4,4.013433800902959,EpsilonGreedy
Bandit_3,3.571273468680407,EpsilonGreedy
Bandit_4,5.147318902882162,EpsilonGreedy
Bandit_4,3.634814119023327,EpsilonGreedy
Bandit_4,2.4602149095113477,EpsilonGreedy
Bandit_4,5.140424558185303,EpsilonGreedy
Bandit_4,4.321319374747418,EpsilonGreedy
Bandit_4,5.595688321699935,EpsilonGreedy
Bandit_4,3.819601259546447,EpsilonGreedy
Bandit_4,4.4998334296375715,EpsilonGreedy
Bandit_4,3.6984579684470775,EpsilonGreedy
Bandit_4,4.76155130838342,EpsilonGreedy
Bandit_4,4.200438165003559,EpsilonGreedy
Bandit_4,4.708286636955247,EpsilonGreedy
Bandit_4,2.869175982872223,EpsilonGreedy
Bandit_4,1.6341302889967722,EpsilonGreedy
Bandit_4,5.274174647503584,EpsilonGreedy
Bandit_4,4.36409806932251,EpsilonGreedy
Bandit_4,3.0833753700840454,EpsilonGreedy
Bandit_4,3.2917958182647715,EpsilonGreedy
Bandit_4,3.5213693772130172,EpsilonGreedy
Bandit_4,2.938559494362844,EpsilonGreedy
Bandit_4,4.5752297649295715,EpsilonGreedy
Bandit_4,4.982181608369705,EpsilonGreedy
Bandit_4,3.637516014423463,EpsilonGreedy
Bandit_4,4.870651454097544,EpsilonGreedy
